factset_entity_id,primary_sic_code,industry_code,sector_code,iso_country,year_founded
0010YB-E,3674,1305,1300,US,1987
008ZWN-E,2834,2305,2300,US,1999
0NPR6B-E,3572,1345,1300,US,2012
