fsym_id,price_date,adj_price,index_fsym_id,index_price_date,index_adj_price
BDM03B-S,2023-02-28,9.70408,LY6WH5-S,2023-02-28,396.26
BDM03B-S,2023-03-31,9.21448,LY6WH5-S,2023-03-31,409.39
BDM03B-S,2023-04-30,9.7882,LY6WH5-S,2023-04-30,415.93
BDM03B-S,2023-05-31,12.07321,LY6WH5-S,2023-05-31,417.85
BDM03B-S,2023-06-30,11.32271,LY6WH5-S,2023-06-30,443.28
BDM03B-S,2023-07-31,12.71642,LY6WH5-S,2023-07-31,457.79
BDM03B-S,2023-08-31,12.37454,LY6WH5-S,2023-08-31,450.35
BDM03B-S,2023-09-30,12.93238,LY6WH5-S,2023-09-30,427.48
BDM03B-S,2023-10-31,12.15468,LY6WH5-S,2023-10-31,418.2
BDM03B-S,2023-11-30,13.99009,LY6WH5-S,2023-11-30,456.4
BDM03B-S,2023-12-31,16.2237,LY6WH5-S,2023-12-31,475.31
BDM03B-S,2024-01-31,16.09508,LY6WH5-S,2024-01-31,482.88
BDM03B-S,2024-02-29,18.29436,LY6WH5-S,2024-02-29,508.08
BDM03B-S,2024-03-31,17.9657,LY6WH5-S,2024-03-31,523.07
BDM03B-S,2024-04-30,20.31724,LY6WH5-S,2024-04-30,503.49
BDM03B-S,2024-05-31,21.67877,LY6WH5-S,2024-05-31,527.37
BDM03B-S,2024-06-30,18.8665,LY6WH5-S,2024-06-30,544.22
BDM03B-S,2024-07-31,21.60932,LY6WH5-S,2024-07-31,550.81
BK790F-S,2004-09-30,1.515,LY6WH5-S,2004-09-30,111.76
BK790F-S,2004-10-31,1.40804,LY6WH5-S,2004-10-31,113.2
BK790F-S,2004-11-30,1.5521,LY6WH5-S,2004-11-30,117.89
BK790F-S,2004-12-31,1.50256,LY6WH5-S,2004-12-31,120.87
BK790F-S,2005-01-31,1.62121,LY6WH5-S,2005-01-31,118.16
BK790F-S,2005-02-28,1.64728,LY6WH5-S,2005-02-28,120.63
BK790F-S,2005-03-31,1.52034,LY6WH5-S,2005-03-31,117.96
BK790F-S,2005-04-30,1.43002,LY6WH5-S,2005-04-30,115.75
BK790F-S,2005-05-31,1.47912,LY6WH5-S,2005-05-31,119.48
BK790F-S,2005-06-30,1.43779,LY6WH5-S,2005-06-30,119.18
BK790F-S,2005-07-31,1.46645,LY6WH5-S,2005-07-31,123.74
BK790F-S,2005-08-31,1.50265,LY6WH5-S,2005-08-31,122.58
BK790F-S,2005-09-30,1.83928,LY6WH5-S,2005-09-30,123.04
BK790F-S,2005-10-31,2.23062,LY6WH5-S,2005-10-31,120.13
BK790F-S,2005-11-30,1.88625,LY6WH5-S,2005-11-30,125.41
BK790F-S,2005-12-31,1.86082,LY6WH5-S,2005-12-31,124.51
BK790F-S,2006-01-31,2.05781,LY6WH5-S,2006-01-31,127.5
BK790F-S,2006-02-28,2.14854,LY6WH5-S,2006-02-28,128.23
BK790F-S,2006-03-31,2.01133,LY6WH5-S,2006-03-31,129.83
BK790F-S,2006-04-30,2.18535,LY6WH5-S,2006-04-30,131.47
BK790F-S,2006-05-31,2.26807,LY6WH5-S,2006-05-31,127.51
BK790F-S,2006-06-30,2.3945,LY6WH5-S,2006-06-30,127.23
BK790F-S,2006-07-31,2.43216,LY6WH5-S,2006-07-31,127.85
BK790F-S,2006-08-31,2.28397,LY6WH5-S,2006-08-31,130.64
BK790F-S,2006-09-30,2.30109,LY6WH5-S,2006-09-30,133.58
BK790F-S,2006-10-31,2.52257,LY6WH5-S,2006-10-31,137.79
BK790F-S,2006-11-30,2.79268,LY6WH5-S,2006-11-30,140.53
BK790F-S,2006-12-31,2.68215,LY6WH5-S,2006-12-31,141.62
BK790F-S,2007-01-31,2.7462,LY6WH5-S,2007-01-31,143.75
BK790F-S,2007-02-28,2.78359,LY6WH5-S,2007-02-28,140.93
BK790F-S,2007-03-31,2.94884,LY6WH5-S,2007-03-31,142
BK790F-S,2007-04-30,2.85842,LY6WH5-S,2007-04-30,148.29
BK790F-S,2007-05-31,3.1477,LY6WH5-S,2007-05-31,153.32
BK790F-S,2007-06-30,3.19995,LY6WH5-S,2007-06-30,150.43
BK790F-S,2007-07-31,3.0914,LY6WH5-S,2007-07-31,145.72
BK790F-S,2007-08-31,3.86459,LY6WH5-S,2007-08-31,147.59
