fsym_id,date,currency,ff_upd_type,ff_fp_ind_code,ff_report_freq_code,ff_fiscal_date,ff_fy_length_days,ff_fyr,ff_fpnc,ff_sales,ff_oper_exp_tot,ff_oper_inc,ff_ptx_inc,ff_inc_tax,ff_min_int_exp,ff_net_income,ff_div_pfd,ff_cash_st,ff_cash_only,ff_inven,ff_assets_curr,ff_assets_oth_intang,ff_intang,ff_assets,ff_liabs_curr,ff_debt_st,ff_debt_lt,ff_pfd_stk,ff_com_eq,ff_debt,ff_shldrs_eq,ff_chg_cash_cf,ff_bps,ff_com_shs_out,ff_actg_standard,ff_consol_net_inc,ff_eq_tot,ff_exp_tot,ff_min_int_accum,ff_liabs_shldrs_eq,ff_ppe_net,ff_receiv_st,ff_dps,ff_dps_gross,ff_eps_rpt_date,ff_source_is_date,ff_source_bs_date,ff_source_cf_date,ff_restate_ind,ff_loan_chg_cf,ff_dep_chg_cf,ff_dps_all,ff_net_inc_aft_pfd,ff_curn_doc,ff_debt_lt_xcap,ff_eps,ff_eps_xord,ff_oper_exp,ff_oper_inc_bef_dep,ff_pfd_stk_nred,ff_pfd_stk_red,ff_disc_oper,ff_misc_exp_non_oper,ff_int_exp_debt,ff_xord_items,ff_liabs_curr_misc,ff_liabs_oth_xdfd_rev,ff_dep_amort_exp,ff_wkcap_ps,ff_ppe_net_owned,ff_debt_st_xoper,ff_debt_lt_xlease,ff_debt_lt_xoper,ff_assets_tang,ff_dfd_tax_rsrv,ff_restruct_exp
HWYYQ0-R,2013-12-31,DKK,3,4,1,2013-12-31,92,2013,201312,2940,2248,692,707,144,2,561,0,1090,1003,1902,5830,2864,2864,16506,2599,105,1734,0,11054,1839,11054,549,35.18135,314.200524,23,563,11066,2248,12,16506,7135,2694,2.5,2.5,2014-01-21,2014-01-21,2014-01-21,2014-01-21,0,0,0,2.5,561,DKK,1734,1.79,1.79,2248,878,0,0,0,39,24,0,569,0,186,10.2832419210097,7135,105,1734,1734,13642,0,0
HWYYQ0-R,2020-09-30,DKK,3,3,1,2020-09-30,92,2020,202009,3431,2455,976,889,177,0,711,0,934,856,2528,6582,2616,2616,20127,4283,1570,3888,0,10800,5458,10800,-168,38.69273,279.122221,23,711,10811,2455,11,20127,9717,3098,0,0,2020-10-21,2020-10-21,2020-10-21,2020-10-21,0,0,0,0,711,DKK,3485,2.5438,2.5438,2455,1291,0,0,0,18,15,0,1385,11,315,8.23653520584447,9717,1570,3485,3888,17511,0,90
KZ5B9F-R,2002-06-30,NOK,3,2,1,2002-06-30,91,2002,200206,1965,1777,188,173,0,0,115,0,368,313,105,1449,2037,882,6464,1489,1489,2112,0,2127,3601,2127,-38,19.51354,109.0012381365,01,115,2297,1777,170,6464,2978,976,0,0,2002-08-15,2002-08-16,2002-08-16,2002-08-16,0,0,0,0,115,NOK,2112,1.3391,1.347,1777,297,0,0,0,-15,0,0,0,566,109,-0.366968308652685,2978,1489,2112,2112,5582,0,0
PDBDMJ-R,2004-09-30,NOK,3,3,1,2004-09-30,92,2004,200409,544.3,570.2,-25.9,-69.6,0,3.1,-72.8,0,338.4,338.4,781.4,1400.6,698.8,593.6,3295.2,563.7,68.4,2168.5,0,463.5,2236.9,463.5,219.4,9.23307,50.2,01,-69.7,510.5,570.2,47,3295.2,1195.8,280.8,0,0,2004-11-18,2004-11-24,2004-11-24,2004-11-24,1,0,0,0,-72.8,NOK,1919.7,-1.4,-1.4,570.2,15.1,0,0,0,-1.2,42.5,0,495.3,52.5,41,16.6713147410359,1195.8,68.4,1919.7,2168.5,2701.6,0,0
BNW4RV-R,2018-12-31,NOK,3,4,1,2018-12-31,92,2018,201812,2569,2505,64,55,11,0,44,0,194,194,3211,3759,2985,2985,7662,2830,994,1081,0,3710,2075,3710,76,9.37296,395.81949958898,23,44,3710,2505,0,7662,909,345,0,0,2019-02-12,2019-04-24,2019-04-24,2019-04-24,0,0,0,0,44,NOK,1080,0.1104,0.1104,2505,115,0,0,0,6,15,0,728,0,51,2.34702939335903,909,994,1080,1081,4677,0,0
BNW4RV-R,2020-03-31,NOK,3,1,1,2020-03-31,91,2020,202003,2162,2425,-263,-268,-43,0,-224,0,374,374,2525,3129,2996,2996,10083,2909,1411,3406,0,3758,4817,3758,-58,7.57815,495.8996664075,23,-224,3758,2425,0,10082,3889,231,0,0,2020-04-29,2020-04-29,2020-04-29,2020-04-29,1,0,0,0,-224,NOK,873,-0.4662,-0.4662,2425,-84,0,0,0,38,44,0,805,0,179,0.443638128643582,914,1411,873,3406,7087,0,0
HWYYQ0-R,2003-12-31,DKK,3,4,1,2003-12-31,92,2003,200312,1430,1177,253,261,67,7,187,0,686,571,1117,3316,0,534,7633,1449,373,1072,0,4144,1445,4144,0,11.92247,347.57891,01,194,4175,1177,31,7633,3783,1418,0.63,0.63,2004-01-29,2004-02-10,2004-02-10,2004-02-10,0,0,0,0.63,187,DKK,1072,0.548,0.56,1177,0,0,0,0,8,0,0,801,63,0,5.37144212806237,3783,373,1072,1072,7099,0,0
HWYYQ0-R,2009-09-30,DKK,3,3,1,2009-09-30,92,2009,200909,2118,1663,455,428,112,0,316,0,1620,1423,1469,4775,1225,1167,10575,2549,584,1749,0,5248,2333,5248,478,16.90177,310.5,23,316,5258,1663,10,10575,4515,1686,0,0,2009-10-28,2009-10-28,2009-10-28,2009-10-28,0,0,0,0,316,DKK,1749,1.018,1.018,1663,594,0,0,0,8,35,0,1358,166,139,7.16908212560387,4515,584,1749,1749,9408,0,0
HWYYQ0-R,2010-12-31,DKK,3,4,1,2010-12-31,92,2010,201012,2404,2020,384,453,103,0,350,0,1643,1465,1640,5536,1070,1070,12593,2508,271,1521,0,7824,1792,7824,-691,24.86118,314.70751,23,350,7836,2020,12,12593,5866,2189,1.6,1.6,2011-01-21,2011-01-21,2011-01-21,2011-01-21,0,0,0,1.6,350,DKK,1521,1.118,1.118,2020,576,0,0,0,83,14,0,850,53,192,9.62163248026715,5866,271,1521,1521,11523,0,0
HWYYQ0-R,2021-03-31,DKK,3,1,1,2021-03-31,90,2021,202103,3776,2780,996,1107,221,0,885,0,1088,1063,2443,7012,3709,3709,21684,5050,2171,4273,0,10770,6444,10770,-118,38.61604,278.899655,23,885,10782,2780,12,21684,9736,3470,0,0,2021-04-27,2021-04-27,2021-04-27,2021-04-27,0,0,0,0,885,DKK,3901,3.1698,3.1698,2780,1336,0,0,0,121,10,0,1562,574,340,7.03478819290759,9736,2171,3901,4273,17975,0,0
