fsym_id,date,currency,ff_upd_type,ff_fp_ind_code,ff_report_freq_code,ff_fiscal_date,ff_fy_length_days,ff_fyr,ff_fpnc,ff_sales,ff_oper_exp_tot,ff_oper_inc,ff_ptx_inc,ff_inc_tax,ff_min_int_exp,ff_net_income,ff_div_pfd,ff_cash_st,ff_cash_only,ff_inven,ff_assets_curr,ff_assets_oth_intang,ff_intang,ff_assets,ff_liabs_curr,ff_debt_st,ff_debt_lt,ff_pfd_stk,ff_com_eq,ff_debt,ff_shldrs_eq,ff_chg_cash_cf,ff_bps,ff_com_shs_out,ff_actg_standard,ff_consol_net_inc,ff_eq_tot,ff_exp_tot,ff_min_int_accum,ff_liabs_shldrs_eq,ff_ppe_net,ff_receiv_st,ff_dps,ff_dps_gross,ff_eps_rpt_date,ff_source_is_date,ff_source_bs_date,ff_source_cf_date,ff_restate_ind,ff_loan_chg_cf,ff_dep_chg_cf,ff_dps_all,ff_net_inc_aft_pfd,ff_curn_doc,ff_debt_lt_xcap,ff_eps,ff_eps_xord,ff_oper_exp,ff_oper_inc_bef_dep,ff_pfd_stk_nred,ff_pfd_stk_red,ff_disc_oper,ff_misc_exp_non_oper,ff_int_exp_debt,ff_xord_items,ff_liabs_curr_misc,ff_liabs_oth_xdfd_rev,ff_dep_amort_exp,ff_wkcap_ps,ff_ppe_net_owned,ff_debt_st_xoper,ff_debt_lt_xlease,ff_debt_lt_xoper,ff_assets_tang,ff_dfd_tax_rsrv,ff_restruct_exp
KZ5B9F-R,2013-06-30,NOK,3,2,1,2013-06-30,91,2013,201306,3971,3550,421,363,171,19,185,0,1193,1140,108,4147,9646,9646,16408,5166,592,2712,0,6248,3304,6248,544,58.21426,107.32766,23,204,6500,3550,252,16408,1795,2846,0,0,2013-07-18,2013-07-19,2013-07-19,2013-07-19,1,0,0,0,185,NOK,2712,1.72,1.72,3550,543,0,0,0,-21,34,0,0,2030,122,-9.49429066095357,1795,592,2712,2712,6762,0,1
KZ5B9F-R,2021-03-31,NOK,3,1,1,2021-03-31,90,2021,202103,3401,3026,375,294,71,-175,-104,0,1104,1104,0,36401,5921,5824,45961,24497,968,4502,0,9804,5470,9804,-110,41.92442,233.849416,23,222,15269,3026,5465,45962,2011,170,0,0,2021-05-06,2021-05-06,2021-05-06,2021-05-06,0,0,0,0,-104,NOK,3078,-0.4447,-0.4447,3026,595,0,0,-501,-3,51,0,21112,269,220,50.9045530393798,462,968,3078,4502,40137,0,29
KZ5B9F-R,2021-06-30,NOK,3,2,1,2021-06-30,91,2021,202106,3619,3108,511,384,57,-135,470,0,727,727,0,2610,9552,9420,84776,3692,377,7732,0,71145,8109,71145,-1840,303.69959,234.2611,23,306,71257,3108,112,84776,2015,267,0,0,2021-07-16,2021-07-16,2021-07-16,2021-07-16,0,0,0,0,470,NOK,6344,2.009,260.36,3108,744,0,0,29,59,57,60441,631,389,233,-4.61877793624294,499,377,6344,7732,75356,0,45
PDBDMJ-R,2020-03-31,NOK,3,1,1,2020-03-31,91,2020,202003,9264.64507914656,7862.27567365513,1402.36940549144,-1004.3855562855,-168.619472953041,0,-813.772239034239,0,1152.222225,1152.222225,19576.25560275,26369.75784135,13915.387811325,13881.9733668,63364.156819425,8570.22890955,1363.078892175,19825.13560335,0,30229.7022951,21188.214495525,30229.7022951,-248.216242794227,58.45882,517.111091,23,-813.772239034239,30236.61562845,7862.27567365513,6.91333335,63365.30904165,20281.41560445,5641.2800136,0,0,2020-05-13,2020-05-13,2020-05-13,2020-05-13,0,0,0,0,-813.772239034239,EUR,16783.26892935,-1.5737,-1.5737,7862.27567365513,2252.79805168938,0,0,0,507.95307,205.275880116745,0,1.15222222500051,110.613334,850.428646197944,34.4210929558268,15420.190037175,1363.078892175,16783.26892935,19825.13560335,49482.183452625,0,0
PDBDMJ-R,2020-12-31,NOK,3,4,1,2020-12-31,92,2020,202012,10836.0660044662,9805.80089606218,1030.26510840399,388.23142393929,-88.1855311995064,0,516.207987509306,0,1121.97680709975,1121.97680709975,18340.2875461207,25652.5173440257,13336.9624007347,12680.118835794,61243.5911483272,7537.46323723874,1604.919204927,20379.9596688315,0,28934.639973945,21984.8788737585,28934.639973945,62.627689857151,55.9544,517.111091,23,516.207987509306,28956.6395191823,9805.80089606218,21.99954523725,61242.543550935,20230.1532417397,6190.25299080524,0.32,0.32,2021-02-17,2021-03-24,2021-03-24,2021-03-24,0,0,0,0.32,515.132554201994,EUR,16400.1371756737,0.9962,0.9962,9805.80089606218,2015.36201790092,0,0,0,-141.9572,166.692162633213,0,-4.54747350886464e-13,259.804153,985.096909496925,35.0312619900604,14610.8408297107,1604.919204927,16400.1371756737,20379.9596688315,48563.4723125332,0,127.976563570015
HWYYQ0-R,2019-03-31,DKK,3,1,1,2019-03-31,90,2019,201903,3481,2596,885,862,163,1,696,0,754,727,2808,6771,2104,2104,20391,5560,2234,2738,0,10914,4972,10914,4,37.94501,287.626774,23,697,10928,2596,14,20391,10376,3209,0,0,2019-04-24,2019-04-24,2019-04-24,2019-04-24,0,0,0,0,696,DKK,2178,2.42,2.42,2596,1155,0,0,0,10,0,0,1719,9,270,4.21031736078923,10376,2234,2178,2738,18287,0,0
KZ5B9F-R,2003-03-31,NOK,3,1,1,2003-03-31,90,2003,200303,2029,1866,163,88,29,7,52,0,431,378,109,1599,2073,887,6340,2051,199,1358,0,2104,1557,2104,-209,19.72695,106.656128928796,01,59,2274,1866,170,6340,2668,1059,0,0,2003-05-07,2003-05-08,2003-05-08,2003-05-08,0,0,0,0,52,NOK,1358,0.9326,0.9326,1866,261,0,0,0,16,66,0,1852,657,98,-4.23791866946301,2668,199,1358,1358,5453,0,0
KZ5B9F-R,2009-09-30,NOK,3,3,1,2009-09-30,92,2009,200909,3264,2963,301,250,62,42,146,0,1355,865,145,4111,8509,7630,15763,4643,459,3508,0,5119,3967,5119,-421,49.55303,103.303474,23,188,5515,2963,396,15763,2728,2611,0,0,2009-11-13,2009-11-19,2009-11-19,2009-11-19,0,0,0,0,146,NOK,3508,1.46,1.46,2963,487,0,0,0,44,58,0,4184,2097,186,-5.14987521136027,2728,459,3508,3508,8133,0,35
PDBDMJ-R,2011-03-31,NOK,3,1,1,2011-03-31,90,2011,201103,3942.2,2979,963.2,888.1,284.3,-2.7,608.2,0,377.4,377.4,8033.1,10694.8,7446.2,7601.4,23133.5,2475.9,411.5,4620.6,0,12939.6,5032.1,12939.6,58.5,36.19904,357.4569626,23,605.5,13007.9,2979,68.3,23133.5,3917.6,2284.3,0,0,2011-05-10,2011-05-11,2011-05-11,2011-05-11,0,0,0,0,608.2,NOK,4620.6,1.7,1.7,2979,1126.5,0,0,0,-62.7,95.1,0,2064.4,558,163.3,22.9926980306076,3917.6,411.5,4620.6,4620.6,15532.1,0,0
C6LWM5-R,2018-09-30,NOK,3,3,1,2018-09-30,92,2018,201809,2766.4,2297.5,468.9,1170.9,269.3,13.8,922.2,0,489.4,489.4,5027.3,6248.9,3388.9,3388.9,14314.4,3853,734.9,1081.6,0,7819.2,1816.5,7819.2,332.4,69.47616,112.545077,23,936,7919.7,2297.5,100.5,14314.4,3590.7,732.2,0,0,2018-11-09,2018-11-09,2018-11-09,2018-11-09,0,0,0,0,922.2,NOK,751.3,8.194,8.194,2297.5,591.7,0,0,0,0,23.2,0,1.13686837721616e-13,0,122.8,21.2883589746,3590.7,734.9,751.3,1081.6,10925.5,0,0
HWYYQ0-R,2012-09-30,DKK,3,3,1,2012-09-30,92,2012,201209,2838,2140,698,671,151,-1,521,0,692,572,1777,5181,2121,2121,14541,3253,656,978,0,9192,1634,9192,215,29.40875,312.56,23,520,9206,2140,14,14541,6929,2712,0,0,2012-10-25,2012-10-25,2012-10-25,2012-10-25,0,0,0,0,521,DKK,978,1.66,1.66,2140,889,0,0,0,-13,14,0,1371,39,191,6.16841566419247,6929,656,978,978,12420,0,0
HWYYQ0-R,2013-03-31,DKK,3,1,1,2013-03-31,90,2013,201303,2845,2137,708,661,147,0,514,0,442,420,1970,5378,3015,3015,16164,3492,984,1719,0,9638,2703,9638,-603,30.7246,313.69,23,514,9651,2137,13,16164,7299,2966,0,0,2013-04-25,2013-04-25,2013-04-25,2013-04-25,0,0,0,0,514,DKK,1719,1.64,1.64,2137,883,0,0,0,-41,6,0,1472,24,175,6.01230514201919,7299,984,1719,1719,13149,0,0
MVMFXK-R,2015-06-30,DKK,3,2,1,2015-06-30,91,2015,201506,27059,14956,12103,10548,2205,0,8343,0,12218,11836,12825,47337,1460,1460,81313,38593,736,0,0,39111,736,39111,5710,7.52261,5199.128,23,8343,39111,14956,0,81313,23632,19272,0,0,2015-08-06,2015-08-06,2015-08-06,2015-08-06,0,0,0,0,8343,DKK,0,1.62,1.62,14956,12751,0,0,0,-1742,0,0,30691,0,648,1.68182048989754,23632,736,0,0,79853,0,0
PDBDMJ-R,2006-09-30,NOK,3,3,1,2006-09-30,92,2006,200609,1652,1406.5,245.5,385.9,23.9,3.7,358.3,0,331,331,2530.8,13777.7,6176.9,6113.8,21950.5,1791.1,622.5,7247.6,0,12448,7870.1,12448,-444.4,35.89649,346.7748329,23,362,12467.4,1406.5,19.4,21950.5,1968,10915.9,0,0,2006-11-14,2006-11-21,2006-11-21,2006-11-21,1,0,0,0,358.3,NOK,7034.9,1,1,1406.5,326.5,0,0,0,108.8,0,0,1168.6,45.4,81,34.5659455726898,1968,622.5,7034.9,7247.6,15836.7,0,0
C6LWM5-R,2011-12-31,NOK,3,4,1,2011-12-31,92,2011,201112,1065.444,992.104,73.34,-5.621,-5.994,-8.783,25.355,0,47.621,47.621,1648.724,2346.618,1919.122,1917.1,6316.425,1160.13,501.754,2201.997,0,2092.382,2703.751,2092.382,-0.441,20.57406,101.7,23,16.572,2214.61,992.104,122.228,6316.425,1126.446,596.835,0,0,2012-02-29,2012-04-30,2012-04-30,2012-04-30,0,0,0,0,25.355,NOK,2028.537,0.25,0.25,992.104,111.383,0,0,0,0,51.133,0,152.195,0,38.043,11.6665486725664,1126.446,501.754,2028.537,2201.997,4399.325,0,0
HWYYQ0-R,2016-03-31,DKK,3,1,1,2016-03-31,91,2016,201603,3609,2668,941,965,210,1,744,0,732,732,2210,6250,2728,2589,17529,3992,785,1199,0,10619,1984,10619,-334,35.12736,302.3,23,745,10633,2668,14,17529,7929,3246,0,0,2016-04-20,2016-04-20,2016-04-20,2016-04-20,0,0,0,0,744,DKK,1199,2.45,2.45,2668,1172,0,0,0,8,1,0,1748,744,231,7.46940125702944,7929,785,1199,1199,14940,0,0
KZ5B9F-R,1999-12-31,NOK,3,4,null,1999-12-31,92,1999,199912,2110.324,2054.53,55.794,55.646,0,0,21.124,0,793,676,121,1925,869,912,7150,1873,35,2232,0,2302,2267,2302,0,26.49593,86.881267445,01,21.124,2401,2054.53,99,7150,3242,1011,1.39486,1.39486339879557,null,2000-02-23,2000-02-23,2000-02-23,0,0,0,1.39486,21.124,NOK,2232,0,0,2054.53,179.399,0,0,0,-0.148,0,0,937,-36,123.605,0.598517972046373,3242,35,2232,2232,6238,0,0
KZ5B9F-R,2017-03-31,NOK,3,1,1,2017-03-31,90,2017,201703,4000,3711,289,274,174,12,30,0,751,751,0,3610,15188,14835,20747,5268,28,2313,0,10394,2341,10394,-517,45.82739,226.8076,23,42,10717,3711,323,20747,1020,0,0,0,2017-05-12,2017-05-12,2017-05-12,2017-05-12,0,0,0,0,30,NOK,2313,0.13,0.13,3711,434,0,0,0,6,18,0,5240,2449,145,-7.31016068244627,1020,28,2313,2313,5912,0,3
PDBDMJ-R,2009-12-31,NOK,3,4,1,2009-12-31,92,2009,200912,3767.3,3198.1,569.2,739.8,219.7,-2.6,522.7,0,172.2,172.2,6093.8,8489.7,7752.4,7688.1,20334.8,2569.5,130.3,5116.9,0,11415.5,5247.2,11415.5,-27.4,31.93238,357.4898329,23,520.1,11460.5,3198.1,45,20334.8,3518.1,1965.1,3.5,3.5,2010-02-10,2010-04-30,2010-04-30,2010-04-30,0,0,0,3.5,522.7,NOK,5116.9,1.5,1.5,3198.1,713.6,0,0,0,97.9,73.2,0,1048.6,45.3,144.4,16.5604709705298,3518.1,130.3,5116.9,5116.9,12646.7,0,6.3
PDBDMJ-R,2021-09-30,NOK,3,3,1,2021-09-30,92,2021,202109,10676.900540428,9440.30160991108,1236.59893051691,165.293090127574,46.4886815983802,-1.03308181329734,240.70806249828,0,872.0650815825,872.0650815825,18471.1882361175,24859.9248836738,12667.2005643788,12641.90865366,59287.2737540363,8091.3880771425,1725.9199874475,15758.8837306388,0,30874.3412525925,17484.8037180863,30874.3412525925,70.537100703442,59.70543,517.111091,23,239.674980684983,30891.5397518813,9440.30160991108,17.19849928875,59285.2504011788,19293.6811726913,5516.67156597375,0.93,0.93,2021-11-10,2021-11-10,2021-11-10,2021-11-10,0,0,0,1.4,240.70806249828,EUR,12492.180542205,0.4655,0.4655,9440.30160991108,2202.53042594992,0,0,0,-101.24202,144.631453861627,0,-2.27373675443232e-13,98.132614,965.931495433012,32.4273393055716,14301.05799681,1725.9199874475,12492.180542205,15758.8837306388,46645.3651003763,0,52.6871724781643
RDLJGK-R,2021-12-31,SEK,3,4,1,2021-12-31,92,2021,202112,2057,1827,230,176,43,1,132,0,674,674,1072,3639,5834,5834,10742,2833,114,2636,0,4360,2750,4360,233,24.01218,181.574517,23,133,4363,1827,3,10742,971,1524,0.85,0.85,2022-02-04,2022-03-03,2022-03-03,2022-03-03,0,0,0,0.85,133,SEK,2362,0.7297,0.7297,1827,304,0,0,0,-13,14,0,1899,140,74,4.43894888620301,971,114,2362,2636,4908,0,24
BNW4RV-R,2017-12-31,NOK,3,4,1,2017-12-31,92,2017,201712,2525,2240,285,280,56,0,224,0,314,314,3151,3840,2988,2988,7695,2718,916,1089,0,3846,2005,3846,219,9.5567,402.44035005527,23,224,3846,2240,0,7695,857,360,0.68678,0.68678,2018-02-14,2018-04-25,2018-04-25,2018-04-25,0,0,0,0.68678,224,NOK,1087,0.5563,0.5563,2240,331,0,0,0,9,14,0,638,0,46,2.78799081614433,857,916,1087,1089,4707,0,0
BNW4RV-R,2021-12-31,NOK,3,4,1,2021-12-31,92,2021,202112,2734,2557,177,5,2,0,3,0,173,173,2220,2994,3004,3004,9015,2852,962,2410,0,3723,3372,3723,-116,6.19696,600.77823707163,23,3,3753,2557,30,9015,2952,601,0.24365,0.24365,2022-02-09,2022-04-27,2022-04-27,2022-04-27,1,0,0,1.0477,3,NOK,485,0.005,0.005,2557,403,0,0,0,0,37,0,1144,0,226,0.23636009302226,826,962,485,2410,6011,0,0
RDLJGK-R,2021-09-30,SEK,3,3,1,2021-09-30,92,2021,202109,1857,1675,182,174,35,1,137,0,440,440,1000,3113,5679,5679,10002,2312,110,2583,0,4234,2693,4234,-239,23.18145,182.646067,23,138,4237,1675,3,10001,939,1237,0,0,2021-10-22,2021-10-22,2021-10-22,2021-10-22,0,0,0,0,138,SEK,2313,0.7551,0.7551,1675,268,0,0,0,13,20,0,1562,137,86,4.38553106101102,939,110,2313,2583,4323,0,3
BNW4RV-R,2017-06-30,NOK,3,2,1,2017-06-30,91,2017,201706,2054,1881,172,168,34,0,135,0,292,292,2925,3500,2989,2989,7262,2543,1099,1096,0,3459,2195,3459,246,8.57533,403.36640992337,23,135,3459,1881,0,7262,771,282,0,0,2017-07-21,2017-07-21,2017-07-21,2017-07-21,0,0,0,0,135,NOK,1096,0.3331,0.3331,1881,210,0,0,0,7.8,11.8,0,811,78,38,2.37253270588844,771,1099,1096,1096,4273,0,0
C6LWM5-R,2010-12-31,NOK,3,4,1,2010-12-31,92,2010,201012,1149.632,803.642,345.99,369.72,94.467,4.4,336.718,0,99.2,99.2,1709.9,2353.1,1707,1707,5823.5,730.5,40.6,1872.2,0,2351.2,1912.8,2351.2,-55.162,23.14173,101.6,23,341.118,2469.2,803.642,118,5823.5,878.5,543.9,4,4,2011-02-24,2011-04-29,2011-04-29,2011-04-29,0,0,0,4,336.718,NOK,1872.2,3.27,3.27,803.642,375.62,0,0,0,0,0,0,190.77,-787.188,29.63,15.9704724409449,878.5,40.6,1872.2,1872.2,4116.5,0,0
HWYYQ0-R,2023-06-30,DKK,3,2,1,2023-06-30,91,2023,202306,4217,3186,1031,797,184,8,606,0,1111,1048,3962,9374,4564,4564,28228,6836,3280,4845,0,13386,8125,13386,-52,48.31949,277.031084,23,614,13799,3186,413,28228,12335,4301,4.2,4.2,2023-08-09,2023-08-09,2023-08-09,2023-08-09,0,0,0,4.2,606,DKK,4573,2.1875,2.1875,3186,1366,0,0,0,-50,38,0,1858,792,335,9.16142680941897,12335,3280,4573,4845,23664,0,146
PDBDMJ-R,2005-09-30,NOK,3,3,0,2005-09-30,92,2005,200509,456.4,358.6,97.8,82.1,0.2,-1.4,83.2,0,234.2,234.2,907.7,1404.3,645.2,616.9,3141.5,448.8,0,1518.5,0,1142.4,1518.5,1142.4,-71.3,9.2502,123.5,23,81.8,1158.7,358.6,16.3,3141.5,1092,262.4,0,0,2005-10-24,2005-10-26,2005-10-26,2005-10-26,1,0,0,0,83.2,NOK,1319.3,0.7,0.7,358.6,133,0,0,0,-0.3,15.4,0,448.8,15.5,35.2,7.73684210526316,1092,0,1319.3,1518.5,2524.6,0,0
BNW4RV-R,2017-09-30,NOK,3,3,1,2017-09-30,92,2017,201709,2417,2204,213,190,38,0,152,0,95,95,2926,3356,2988,2988,7115,2232,918,1082,0,3610,2000,3610,-197,8.94968,403.36640992337,23,152,3610,2204,0,7115,769,336,0,0,2017-10-25,2017-10-25,2017-10-25,2017-10-25,0,0,0,0,152,NOK,1082,0.3777,0.3777,2204,252,0,0,0,-9,14,0,569,77,39,2.78654834004035,769,918,1082,1082,4127,0,0
C6LWM5-R,2008-03-31,NOK,3,1,1,2008-03-31,91,2008,200803,348.5,285.1,63.4,-83.7,-23.4,0,-57.2,0,43.8,43.8,825.9,1028.9,1078,1078.1,2743.8,266.5,92.8,753,0,1259.9,845.8,1259.9,-4,12.23204,103,23,-57.2,1260.6,285.1,0.7,2743.8,371.5,159.2,0,0,2008-04-28,2008-10-21,2008-10-21,2008-10-21,0,0,0,0,-57.2,NOK,753,-0.56,-0.56,285.1,75.1,0,0,0,0,12.7,0,173.7,0,11.7,7.40194174757282,371.5,92.8,753,753,1665.7,0,0
HWYYQ0-R,2012-06-30,DKK,3,2,1,2012-06-30,91,2012,201206,2851,2210,641,636,143,2,491,0,430,415,1728,4831,2150,2150,14163,3143,736,976,0,8847,1712,8847,-797,28.17695,313.98,23,493,8864,2210,17,14163,6872,2673,0,0,2012-08-16,2012-08-16,2012-08-16,2012-08-16,0,0,0,0,491,DKK,976,1.56,1.56,2210,817,0,0,0,3,8,0,1467,63,176,5.37613860755462,6872,736,976,976,12013,0,0
KZ5B9F-R,2018-06-30,NOK,3,2,1,2018-06-30,91,2018,201806,4602,3882,720,563,277,20,295,0,1688,1688,0,4604,16657,16284,26092,5860,366,3855,0,13730,4221,13730,-117,57.63911,238.206327,23,315,14002,3882,272,26093,885,0,0,0,2018-07-17,2018-07-17,2018-07-17,2018-07-17,0,0,0,0,295,NOK,3855,1.24,1.24,3882,895,0,0,0,-6,27,0,5494,2376,175,-5.27273987982695,885,366,3855,3855,9808,0,0
MVMFXK-R,2016-12-31,DKK,3,4,1,2016-12-31,92,2016,201612,29572,18463,11109,10942,2243,0,8699,0,21228,18690,14341,59766,2714,2714,97539,47436,229,0,0,45269,229,45269,4380,9.03814,5008.665496,23,8699,45269,18463,0,97539,30179,24197,2.3,2.3,2017-02-02,2017-02-10,2017-02-10,2017-02-10,0,0,0,2.3,8699,DKK,0,1.73,1.73,18463,12225,0,0,0,76,243,0,32152,0,1116,2.46173357151659,30179,229,0,0,94825,0,0
MVMFXK-R,2017-12-31,DKK,3,4,1,2017-12-31,92,2017,201712,27992,18096,9896,10571,2318,0,8253,0,21156,18852,15373,60080,3325,3325,102355,47056,1694,0,0,49815,1694,49815,-1715,10.19128,4888,23,8253,49815,18096,0,102355,35247,21123,2.425,2.425,2018-02-01,2018-02-06,2018-02-06,2018-02-06,0,0,0,2.425,8253,DKK,0,1.6835,1.6835,18096,10801,0,0,0,704,29,0,29893,0,905,2.66448445171849,35247,1694,0,0,99030,0,0
C6LWM5-R,2019-12-31,NOK,3,4,1,2019-12-31,92,2019,201912,3186.7,2534.6,652.1,813.6,168.2,54.3,668.9,0,231,231,6189.5,7490.3,4741.9,4741.9,17986.1,3248,522.2,3240.5,0,9007.7,3762.7,9007.7,33.194,79.76862,112.922858,23,723.2,9740.1,2534.6,732.4,17986.2,4939.6,1069.7,13,13,2020-02-26,2020-04-23,2020-04-23,2020-04-23,0,0,0,13,668.9,NOK,2751.6,5.93,5.93,2534.6,857.8,0,0,0,0,62.9,0,0.100000000000136,0,205.7,37.5681246041435,4369.9,522.2,2751.6,3240.5,13244.2,0,0
KZ5B9F-R,2010-03-31,NOK,3,1,1,2010-03-31,90,2010,201003,3258,2997,261,246,80,22,149,0,461,0,128,3695,7678,6999,14252,4148,334,2684,0,4881,3018,4881,-632,47.24914,103.303474,23,171,5332,2997,451,14252,2457,2483,0,0,2010-05-12,2010-05-12,2010-05-12,2010-05-12,0,0,0,0,149,NOK,2684,1.45,1.45,2997,413,0,0,0,51,48,0,0,2088,152,-4.38513810290639,2457,334,2684,2684,7253,0,0
KZ5B9F-R,2016-03-31,NOK,3,1,1,2016-03-31,91,2016,201603,3883,3585,298,262,144,21,54,0,1624,1624,0,4596,14369,14054,21023,5659,557,1856,0,10676,2413,10676,-267,47.22946,226.045355,23,75,11008,3585,332,21023,1116,0,0,0,2016-05-11,2016-05-11,2016-05-11,2016-05-11,0,0,0,0,54,NOK,1856,0.24,0.24,3585,421,0,0,0,30,19,0,5102,2500,123,-4.70259607856131,1116,557,1856,1856,6969,0,47
KZ5B9F-R,2022-03-31,NOK,3,1,1,2022-03-31,90,2022,202203,3648,3432,216,-13338,45,18,-13454,0,1337,1337,0,3524,10336,9373,50246,7019,3598,5831,0,35071,9429,35071,229,149.85244,234.036901,23,-13436,35291,3432,220,50246,1901,247,0,0,2022-05-04,2022-05-04,2022-05-04,2022-05-04,0,0,0,0,-13454,NOK,4587,-57.4867,-57.4867,3432,479,0,0,0,5,61,0,618,511,263,-14.9335424673052,532,3598,4587,5831,40873,0,32
BNW4RV-R,2014-09-30,NOK,3,3,1,2014-09-30,92,2014,201409,1416,1265,151,82,20,0,62,0,49,49,1399,1647,2950,2950,5030,747,0,2898,0,1301,2898,1301,4.988,1.63279,796.79701286065,23,62,1301,1265,0,5030,433,199,0,0,2014-11-06,2014-11-06,2014-11-06,2014-11-06,0,0,0,0,62,NOK,2898,0.079,0.079,1265,169,0,0,0,0,65,0,266,0,18,1.12952230677777,433,0,2898,2898,2080,0,0
HWYYQ0-R,2012-12-31,DKK,3,4,1,2012-12-31,92,2012,201212,2811,2149,662,619,126,0,493,0,580,535,1808,4890,2672,2672,15113,2620,243,1701,0,9555,1944,9555,-168,30.60289,312.225366,23,493,9568,2149,13,15113,7084,2502,2.2,2.2,2013-01-21,2013-01-21,2013-01-21,2013-01-21,0,0,0,2.2,493,DKK,1701,1.57,1.57,2149,823,0,0,0,-14,29,0,699,48,161,7.27038942761621,7084,243,1701,1701,12441,0,0
HWYYQ0-R,2016-06-30,DKK,3,2,1,2016-06-30,91,2016,201606,3429,2429,1000,955,200,1,750,0,723,711,2341,6218,2718,2579,17757,3457,130,1717,0,10949,1847,10949,134,36.44807,300.4,23,751,10963,2429,14,17757,8207,3154,0,0,2016-08-10,2016-08-10,2016-08-10,2016-08-10,0,0,0,0,750,DKK,1717,2.49,2.49,2429,1233,0,0,0,25,23,0,1605,699,233,9.19107856191744,8207,130,1717,1717,15178,0,32
KZ5B9F-R,2005-12-31,NOK,3,4,1,2005-12-31,92,2005,200512,2643,2469,174,238,63,15,160,0,737,676,94,2268,1486,1406,7935,2764,493,1078,0,2934,1571,2934,5,34.81677,84.26974702433,23,175,3221,2469,287,7935,2129,1026,3.38753,3.38753,2006-02-09,2006-12-20,2006-12-20,2006-12-20,0,0,0,3.38753,160,NOK,1069,1.897,1.897,2469,251,0,0,0,12,10,0,1255,756,77,-5.88586079244782,2129,493,1069,1078,6529,0,0
MVMFXK-R,2000-03-31,DKK,3,1,null,2000-03-31,91,2000,200003,5564,4442,1122,1087,0,0,686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01,686,0,4442,0,0,0,0,0,0,2000-05-03,2000-05-03,2000-05-03,2000-05-03,0,0,0,0,686,DKK,0,0.0973,0.0973,4442,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0
BNW4RV-R,2022-03-31,NOK,3,1,1,2022-03-31,90,2022,202203,1984,2112,-128,-175,-23,0,-151,0,277,277,2435,2981,3004,3004,8847,2946,1315,2302,0,3574,3617,3574,104,5.94895,600.77823707163,23,-151,3599,2112,25,8847,2770,270,0,0,2022-04-27,2022-04-27,2022-04-27,2022-04-27,0,0,0,0,-151,NOK,487,-0.2513,-0.2513,2112,74,0,0,0,-15,33,0,781,0,202,0.0582577694068951,791,1315,487,2302,5843,0,0
BNW4RV-R,2023-09-30,NOK,3,3,1,2023-09-30,92,2023,202309,1982,2136,-154,-189,-49,-6,-159,0,357,357,2015,2655,3068,3011,8520,3349,1600,1792,0,3332,3392,3332,-182,2.51334,1325.726469,23,-140,3331,2136,-1,8520,2447,283,0,0,2023-10-27,2023-10-27,2023-10-27,2023-10-27,0,0,0,0,-159,NOK,229,-0.24,-0.24,2136,36,0,0,-25,4,38,0,634,48,190,-0.523486568480063,551,1600,229,1792,5509,0,0
C6LWM5-R,2017-06-30,NOK,3,2,1,2017-06-30,91,2017,201706,2929.9,2005.4,924.5,642.7,154,4.1,559.5,0,224.2,224.2,4350.3,5419.4,2929.9,2929.9,12830.3,2813.5,216.1,2320.3,0,6277.1,2536.4,6277.1,5.6,55.88804,112.315631,23,563.6,6364.4,2005.4,87.3,12830.3,3420.7,844.8,0,0,2017-08-25,2017-08-25,2017-08-25,2017-08-25,0,0,0,0,559.5,NOK,2320.3,4.98,4.98,2005.4,1025.8,0,0,0,0,53.4,0,2597.4,-0.1,101.3,23.2015791283762,3420.7,216.1,2320.3,2320.3,9900.4,0,0
HWYYQ0-R,2014-12-31,DKK,3,4,1,2014-12-31,92,2014,201412,3181,2348,833,782,179,0,603,0,2552,2535,2184,7311,2954,2954,19277,3941,0,1798,0,11269,1798,11269,-566,36.56272,308.210112,23,603,11280,2348,11,19277,7498,2575,3,3,2015-01-20,2015-01-20,2015-01-20,2015-01-20,0,0,0,3,603,DKK,1798,1.95,1.95,2348,1034,0,0,0,56,7,0,1757,411,201,10.9340993977511,7498,0,1798,1798,16323,0,0
KZ5B9F-R,2016-09-30,NOK,3,3,1,2016-09-30,92,2016,201609,3798,3354,444,435,195,23,174,0,1388,1388,0,4192,13933,13470,20146,5366,540,1822,0,9878,2362,9878,-23,43.67922,226.148703,23,197,10165,3354,287,20146,1043,0,0,0,2016-11-04,2016-11-04,2016-11-04,2016-11-04,0,0,0,0,174,NOK,1822,0.77,0.77,3354,571,0,0,0,61,19,0,4826,2793,127,-5.19127452170265,1043,540,1822,1822,6676,0,35
KZ5B9F-R,2020-09-30,NOK,3,3,1,2020-09-30,92,2020,202009,3188,2728,460,319,59,-58,111,0,1021,1021,0,28222,6241,6153,38204,14793,968,4689,0,10749,5657,10749,-1616,45.90205,234.172557,23,262,16860,2728,6111,38202,2133,178,0,0,2020-10-28,2020-10-28,2020-10-28,2020-10-28,0,0,0,0,112,NOK,3139,0.4783,0.4783,2728,678,0,0,-209,7,52,0,11311,290,218,57.3466001825312,492,968,3139,4689,32051,0,93
