fsym_id,price_date,adj_price,index_adj_price,relative_price_performance_stock_index
T67ZN6-S,1999-03-31,1.0,1.0,1.0
T67ZN6-S,1999-06-30,1.7671303495146438,1.0671859785783837,1.6558785300652727
T67ZN6-S,1999-09-30,2.126738795557749,1.002921129503408,2.1205444107163194
T67ZN6-S,1999-12-31,4.615146855417081,1.1441090555014606,4.033834740862419
T67ZN6-S,2000-01-31,4.564657428093128,1.0876338851022396,4.196869452687236
T67ZN6-S,2000-02-29,6.815043837187403,1.070597857838364,6.365643072504932
T67ZN6-S,2000-03-31,7.007728030663878,1.1713729308666017,5.982491012046387
T67ZN6-S,2000-04-30,7.025244759028468,1.1302356377799416,6.215734599227257
T67ZN6-S,2000-05-31,7.415765116016789,1.1124673807205452,6.666051737367433
T67ZN6-S,2000-06-30,8.98093772599129,1.1316923076923078,7.935847637159241
T67ZN6-S,2000-07-31,15.239567347630816,1.1131918208373903,13.689974236575832
T67ZN6-S,2000-08-31,14.08140145924648,1.1867108081791626,11.865908157398826
T67ZN6-S,2000-09-30,15.43534272312851,1.118792599805258,13.796429048436012
T67ZN6-S,2000-10-31,14.182380313894388,1.113557935735151,12.736095589432834
H8NJCD-S,2000-11-30,0.0111565276741195,1.0304264849074976,0.0108270971656178
T67ZN6-S,2000-11-30,10.557444700287936,1.0304264849074976,10.245703943872996
H8NJCD-S,2000-12-31,0.0120977311582298,1.0219123661148977,0.0118383254370655
T67ZN6-S,2000-12-31,14.0216384253702,1.0219123661148977,13.720979303418757
H8NJCD-S,2001-01-31,0.0131151503486369,1.0673417721518987,0.0122876764414411
T67ZN6-S,2001-01-31,11.192169072083756,1.0673417721518987,10.486021782431417
H8NJCD-S,2001-02-28,0.0133383534885062,0.9655306718597858,0.0138145310938845
T67ZN6-S,2001-02-28,14.398763630022223,0.9655306718597858,14.91279774912548
H8NJCD-S,2001-03-31,0.0123850522732377,0.9089776046738072,0.0136252556823798
T67ZN6-S,2001-03-31,13.91447717643552,0.9089776046738072,15.307832783656783
H8NJCD-S,2001-04-30,0.0121430976500731,0.9730087633885102,0.0124799468483559
T67ZN6-S,2001-04-30,13.792890381157468,0.9730087633885102,14.175504784893844
H8NJCD-S,2001-05-31,0.0131339018319322,0.9811100292112952,0.013386777671094
T67ZN6-S,2001-05-31,11.880474083469082,0.9811100292112952,12.109216835770887
H8NJCD-S,2001-06-30,0.012622167803939,0.955014605647517,0.0132167275026972
T67ZN6-S,2001-06-30,10.7058218304829,0.955014605647517,11.21011319321568
H8NJCD-S,2001-07-31,0.0129310833690644,0.9452775073028236,0.0136796689534705
T67ZN6-S,2001-07-31,10.824997517696788,0.9452775073028236,11.45166095042707
H8NJCD-S,2001-08-31,0.0135783422303576,0.8891918208373905,0.0152704308701022
T67ZN6-S,2001-08-31,10.226893431781846,0.8891918208373905,11.501335473543534
H8NJCD-S,2001-09-30,0.0134090042384703,0.8135540408958131,0.0164820080344085
T67ZN6-S,2001-09-30,6.2733024758520965,0.8135540408958131,7.710984348310157
H8NJCD-S,2001-10-31,0.012217861628631,0.8241480038948393,0.0148248391925851
T67ZN6-S,2001-10-31,4.965522978415439,0.8241480038948393,6.025037923951626
H8NJCD-S,2001-11-30,0.0118602829399216,0.888412852969815,0.0133499677546027
T67ZN6-S,2001-11-30,3.575950569396351,0.888412852969815,4.025099994267923
H8NJCD-S,2001-12-31,0.0122057941418007,0.8903602726387536,0.0137088260975823
T67ZN6-S,2001-12-31,3.446429688848472,0.8903602726387536,3.8708259956773623
H8NJCD-S,2002-01-31,0.011462509539439,0.8816358325219085,0.0130014106920435
T67ZN6-S,2002-01-31,4.120000026615009,0.8816358325219085,4.673131325470063
H8NJCD-S,2002-02-28,0.0122512513666277,0.8658227848101266,0.0141498371047308
T67ZN6-S,2002-02-28,3.700340046051828,0.8658227848101266,4.273784556112491
H8NJCD-S,2002-03-31,0.0117837950346737,0.8920740019474196,0.0132094366711163
T67ZN6-S,2002-03-31,4.620154590252718,0.8920740019474196,5.179115835868781
H8NJCD-S,2002-04-30,0.0126099490954692,0.8401947419668938,0.015008364686917
T67ZN6-S,2002-04-30,4.780669797539328,0.8401947419668938,5.689954434072976
H8NJCD-S,2002-05-31,0.0133835385143822,0.8352093476144109,0.0160241723259077
T67ZN6-S,2002-05-31,4.372612085554792,0.8352093476144109,5.235348596186312
H8NJCD-S,2002-06-30,0.0136712528056528,0.7708666017526776,0.0177349138937519
T67ZN6-S,2002-06-30,3.679979413290888,0.7708666017526776,4.77382131347229
H8NJCD-S,2002-07-31,0.0120941320832102,0.7101071080817916,0.0170314195500451
T67ZN6-S,2002-07-31,3.056692448242352,0.7101071080817916,4.304551261991136
H8NJCD-S,2002-08-31,0.0123831166362524,0.7149367088607596,0.017320577448016
T67ZN6-S,2002-08-31,0.6839773505067482,0.7149367088607596,0.9566963649085182
H8NJCD-S,2002-09-30,0.0114287871138355,0.6371178188899709,0.0179382631830129
T67ZN6-S,2002-09-30,0.6785162229516281,0.6371178188899709,1.06497762711108
H8NJCD-S,2002-10-31,0.0110427182682484,0.6895423563777994,0.0160145612029643
T67ZN6-S,2002-10-31,0.5653374718058595,0.6895423563777994,0.8198734516841077
H8NJCD-S,2002-11-30,0.0121137606520144,0.7320740019474197,0.0165471805033236
T67ZN6-S,2002-11-30,0.2363730022071403,0.7320740019474197,0.3228812955771615
H8NJCD-S,2002-12-31,0.0126010572630679,0.6872833495618306,0.0183345883049569
T67ZN6-S,2002-12-31,0.1954250252033545,0.6872833495618306,0.2843441869033281
